MaNganh,TenVSIC
50111,"Vận tải hành khách ven biển "
50112,Vận tải hành khách viễn dương
50121,"Vận tải hàng hóa ven biển "
50122,Vận tải hàng hóa viễn dương
50211,Vận tải hành khách đường thuỷ nội địa bằng phương tiện cơ giới
50212,Vận tải hành khách đường thuỷ nội địa bằng phương tiện thô sơ
50221,"Vận tải hàng hóa đường thuỷ nội địa bằng phương tiện cơ giới "
50222,"Vận tải hàng hóa đường thuỷ nội địa bằng phương tiện thô sơ "
51101,Vận tải hành khách hàng không theo tuyến và lịch trình cố định
51109,Vận tải hành khách hàng không loại khác
51201,Vận tải hàng hóa hàng không theo tuyến và lịch trình cố định
51209,Vận tải hàng hóa hàng không loại khác
52101,Kho bãi và lưu giữ hàng hóa trong kho ngoại quan
52102,Kho bãi và lưu giữ hàng hóa trong kho đông lạnh (trừ kho ngoại quan)
52109,Kho bãi và lưu giữ hàng hóa trong kho loại khác
52210,"Hoạt động dịch vụ hỗ trợ trực tiếp cho vận tải đường sắt "
52221,Hoạt động điều hành cảng biển
52222,Hoạt động dịch vụ hỗ trợ liên quan đến vận tải ven biển và viễn dương
52223,Hoạt động điều hành cảng đường thủy nội địa
52224,Hoạt động dịch vụ hỗ trợ liên quan đến vận tải đường thủy nội địa
52231,Dịch vụ điều hành bay
52232,Dịch vụ điều hành hoạt động cảng hàng không
52239,Hoạt động dịch vụ hỗ trợ liên quan đến vận tải hàng không
52241,Bốc xếp hàng hóa ga đường sắt
52242,Bốc xếp hàng hóa đường bộ
52243,Bốc xếp hàng hóa cảng biển
52244,Bốc xếp hàng hóa cảng sông
52245,Bốc xếp hàng hóa cảng hàng không
52249,Bốc xếp hàng hóa loại khác
52251,Hoạt động điều hành bến xe
52252,"Hoạt động quản lý, điều hành đường cao tốc, cầu, hầm đường bộ"
52253,"Hoạt động quản lý bãi đỗ, trông giữ phương tiện đường bộ"
52259,Hoạt động dịch vụ khác hỗ trợ liên quan đến vận tải đường bộ
52291,"Dịch vụ đại lý, giao nhận vận chuyển"
52292,Logistics
52299,Dịch vụ hỗ trợ khác liên quan đến vận tải chưa được phân vào đâu
53100,Bưu chính
53200,Chuyển phát
55101,Khách sạn
55102,Biệt thự hoặc căn hộ kinh doanh dịch vụ lưu trú ngắn ngày
55103,"Nhà khách, nhà nghỉ kinh doanh dịch vụ lưu trú ngắn ngày"
55104,"Nhà trọ, phòng trọ và các cơ sở lưu trú ngắn ngày tương tự"
55901,"Ký túc xá học sinh, sinh viên"
55902,"Chỗ nghỉ trọ trên xe lưu động, lều quán, trại dùng để nghỉ tạm"
55909,Cơ sở lưu trú khác chưa được phân vào đâu
56101,"Nhà hàng, quán ăn, hàng ăn uống (trừ cửa hàng ăn uống thuộc chuỗi cửa hàng ăn nhanh)"
56102,Cửa hàng ăn uống thuộc chuỗi cửa hàng ăn nhanh
56109,Dịch vụ ăn uống phục vụ lưu động khác
56210,"Cung cấp dịch vụ ăn uống theo hợp đồng không thường xuyên với khách hàng "
56290,Dịch vụ ăn uống khác
56301,"Quán rượu, bia, quầy bar"
56302,"Quán cà phê, giải khát"
56309,Dịch vụ phục vụ đồ uống khác
58111,Xuất bản sách trực tuyến
58112,Xuất bản sách khác
58121,Xuất bản các danh mục chỉ dẫn và địa chỉ trực tuyến
58122,Xuất bản các danh mục chỉ dẫn và địa chỉ khác
58131,"Xuất bản báo, tạp chí và các ấn phẩm định kỳ trực tuyến"
58132,"Xuất bản báo, tạp chí và các ấn phẩm định kỳ khác"
58191,Hoạt động xuất bản trực tuyến khác
58192,"Hoạt động xuất bản khác "
58200,Xuất bản phần mềm
59111,Hoạt động sản xuất phim điện ảnh
59112,Hoạt động sản xuất phim video
59113,Hoạt động sản xuất chương trình truyền hình
59120,Hoạt động hậu kỳ
59130,"Hoạt động phát hành phim điện ảnh, phim video và chương trình truyền hình"
59141,Hoạt động chiếu phim cố định
59142,Hoạt động chiếu phim lưu động
59200,Hoạt động ghi âm và xuất bản âm nhạc
60100,Hoạt động phát thanh
60210,Hoạt động truyền hình
60220,"Chương trình cáp, vệ tinh và các chương trình thuê bao khác"
61101,Hoạt động cung cấp trực tiếp dịch vụ viễn thông có dây
61102,Hoạt động cung cấp dịch vụ viễn thông có dây sử dụng quyền truy cập hạ tầng viễn thông của đơn vị khác
61201,Hoạt động cung cấp trực tiếp dịch vụ viễn thông không dây
61202,Hoạt động cung cấp dịch vụ viễn thông không dây sử dụng quyền truy cập hạ tầng viễn thông của đơn vị khác
61300,Hoạt động viễn thông vệ tinh
61901,Hoạt động của các điểm truy cập internet
61909,Hoạt động viễn thông khác chưa được phân vào đâu
62010,Lập trình máy vi tính
62020,Tư vấn máy vi tính và quản trị hệ thống máy vi tính
62090,Hoạt động dịch vụ công nghệ thông tin và dịch vụ khác liên quan đến máy vi tính
63110,"Xử lý dữ liệu, cho thuê và các hoạt động liên quan"
63120,Cổng thông tin
63910,Hoạt động thông tấn
63990,Dịch vụ thông tin khác chưa được phân vào đâu
64110,Hoạt động ngân hàng trung ương
64190,Hoạt động trung gian tiền tệ khác
64200,Hoạt động công ty nắm giữ tài sản
64300,"Hoạt động quỹ tín thác, các quỹ và các tổ chức tài chính khác"
64910,Hoạt động cho thuê tài chính
64920,Hoạt động cấp tín dụng khác
64990,"Hoạt động dịch vụ tài chính khác chưa được phân vào đâu (trừ bảo hiểm và bảo hiểm xã hội) "
65110,Bảo hiểm nhân thọ
65120,"Bảo hiểm phi nhân thọ "
65131,Bảo hiểm y tế
65139,Bảo hiểm sức khỏe khác
65200,Tái bảo hiểm
65300,Bảo hiểm xã hội
66110,Quản lý thị trường tài chính
66120,Môi giới hợp đồng hàng hoá và chứng khoán
66190,Hoạt động hỗ trợ dịch vụ tài chính chưa được phân vào đâu
66210,Đánh giá rủi ro và thiệt hại
66220,Hoạt động của đại lý và môi giới bảo hiểm
66290,Hoạt động hỗ trợ khác cho bảo hiểm và bảo hiểm xã hội
66300,Hoạt động quản lý quỹ
68101,"Mua, bán nhà ở và quyền sử dụng đất ở"
68102,"Mua, bán nhà và quyền sử dụng đất không để ở"
68103,"Cho thuê, điều hành, quản lý nhà và đất ở"
68104,"Cho thuê, điều hành, quản lý nhà và đất không để ở"
68109,Kinh doanh bất động sản khác
68201,"Tư vấn, môi giới bất động sản, quyền sử dụng đất"
68202,"Đấu giá bất động sản, quyền sử dụng đất"
69101,"Hoạt động đại diện, tư vấn pháp luật"
69102,"Hướng dẫn chung và tư vấn, chuẩn bị các tài liệu pháp lý"
69109,Hoạt động pháp luật khác
69200,"Hoạt động liên quan đến kế toán, kiểm toán và tư vấn về thuế"
70100,"Hoạt động của trụ sở văn phòng "
70200,Hoạt động tư vấn quản lý
71101,Hoạt động kiến trúc
71102,Hoạt động đo đạc và bản đồ
71103,"Hoạt động thăm dò địa chất, nguồn nước"
71109,Hoạt động tư vấn kỹ thuật có liên quan khác
71200,Kiểm tra và phân tích kỹ thuật
72110,Nghiên cứu khoa học và phát triển công nghệ trong lĩnh vực khoa học tự nhiên
72120,Nghiên cứu khoa học và phát triển công nghệ trong lĩnh vực khoa học kỹ thuật và công nghệ
72130,"Nghiên cứu khoa học và phát triển công nghệ trong lĩnh vực khoa học y, dược"
72140,Nghiên cứu khoa học và phát triển công nghệ trong lĩnh vực khoa học nông nghiệp
72210,Nghiên cứu khoa học và phát triển công nghệ trong lĩnh vực khoa học xã hội
72220,Nghiên cứu khoa học và phát triển công nghệ trong lĩnh vực khoa học nhân văn
73100,Quảng cáo
73200,Nghiên cứu thị trường và thăm dò dư luận
74100,Hoạt động thiết kế chuyên dụng
74200,Hoạt động nhiếp ảnh
74901,Hoạt động khí tượng thuỷ văn
74909,"Hoạt động chuyên môn, khoa học và công nghệ khác còn lại chưa được phân vào đâu"
75000,Hoạt động thú y
77101,Cho thuê ô tô
77109,Cho thuê xe có động cơ khác
77210,"Cho thuê thiết bị thể thao, vui chơi giải trí"
77220,"Cho thuê băng, đĩa video"
77290,Cho thuê đồ dùng cá nhân và gia đình khác
77301,"Cho thuê máy móc, thiết bị nông, lâm nghiệp không kèm người điều khiển"
77302,"Cho thuê máy móc, thiết bị xây dựng không kèm người điều khiển"
77303,"Cho thuê máy móc, thiết bị văn phòng (kể cả máy vi tính) không kèm người điều khiển"
77304,"Cho thuê máy bay, phương tiện bay không kèm người điều khiển"
77305,"Cho thuê tàu, thuyền và kết cấu nổi không kèm người điều khiển"
77309,"Cho thuê máy móc, thiết bị và đồ dùng hữu hình khác không kèm người điều khiển chưa được phân vào đâu"
77400,"Cho thuê tài sản vô hình phi tài chính "
78100,"Hoạt động của các trung tâm, đại lý tư vấn, giới thiệu và môi giới lao động việc làm"
78200,Cung ứng lao động tạm thời
78301,Cung ứng và quản lý nguồn lao động trong nước
78302,Cung ứng và quản lý nguồn lao động đi làm việc ở nước ngoài
79110,Đại lý du lịch
79120,Điều hành tua du lịch
79900,Dịch vụ đặt chỗ và các dịch vụ hỗ trợ liên quan đến quảng bá và tổ chức tua du lịch
80100,Hoạt động bảo vệ tư nhân
80200,Dịch vụ hệ thống bảo đảm an toàn
80300,Dịch vụ điều tra
81100,Dịch vụ hỗ trợ tổng hợp
81210,"Vệ sinh chung nhà cửa "
81290,Vệ sinh công nghiệp và các công trình chuyên biệt
81300,Dịch vụ chăm sóc và duy trì cảnh quan
82110,Dịch vụ hành chính văn phòng tổng hợp
82191,"Photo, chuẩn bị tài liệu "
82199,Hoạt động hỗ trợ văn phòng đặc biệt khác
82200,Hoạt động dịch vụ liên quan đến các cuộc gọi
82300,Tổ chức giới thiệu và xúc tiến thương mại
82910,"Hoạt động dịch vụ hỗ trợ thanh toán, tín dụng"
82920,Dịch vụ đóng gói
82990,Hoạt động dịch vụ hỗ trợ kinh doanh khác còn lại chưa được phân vào đâu
84111,"Hoạt động của Đảng Cộng sản, tổ chức chính trị - xã hội"
84112,"Hoạt động quản lý nhà nước nói chung và kinh tế tổng hợp "
84120,"Hoạt động quản lý nhà nước trong các lĩnh vực y tế, giáo dục, văn hoá và các dịch vụ xã hội khác (trừ bảo đảm xã hội bắt buộc)"
84130,Hoạt động quản lý nhà nước trong các lĩnh vực kinh tế chuyên ngành
84210,Hoạt động đối ngoại
84220,Hoạt động quốc phòng
84230,"Hoạt động an ninh, trật tự an toàn xã hội"
84300,Hoạt động bảo đảm xã hội bắt buộc
85110,Giáo dục nhà trẻ
85120,Giáo dục mẫu giáo
85210,Giáo dục tiểu học
85220,Giáo dục trung học cơ sở
85230,Giáo dục trung học phổ thông
85310,Đào tạo sơ cấp
85320,Đào tạo trung cấp
85330,Đào tạo cao đẳng
85410,Đào tạo đại học
85420,Đào tạo thạc sỹ
85430,Đào tạo tiến sỹ
85510,Giáo dục thể thao và giải trí
85520,Giáo dục văn hoá nghệ thuật
85590,Giáo dục khác chưa được phân vào đâu
85600,Dịch vụ hỗ trợ giáo dục
86101,Hoạt động của các bệnh viện
86102,Hoạt động của các trạm y tế và trạm y tế bộ/ngành
86201,"Hoạt động của các phòng khám đa khoa, chuyên khoa"
86202,Hoạt động của các phòng khám nha khoa
86910,"Hoạt động y tế dự phòng "
86920,"Hoạt động của hệ thống cơ sở chỉnh hình, phục hồi chức năng"
86990,Hoạt động y tế khác chưa được phân vào đâu
87101,"Hoạt động của các cơ sở nuôi dưỡng, điều dưỡng thương bệnh binh"
87109,"Hoạt động của các cơ sở nuôi dưỡng, điều dưỡng các đối tượng khác"
87201,"Hoạt động chăm sóc sức khoẻ người bị thiểu năng, tâm thần"
87202,"Hoạt động chăm sóc sức khoẻ, cai nghiện phục hồi người nghiện"
87301,Hoạt động chăm sóc sức khoẻ người có công (trừ thương bệnh binh)
87302,Hoạt động chăm sóc sức khoẻ người già
87303,Hoạt động chăm sóc sức khoẻ người khuyết tật
87901,"Hoạt động chữa bệnh, phục hồi nhân phẩm cho đối tượng mại dâm"
87909,Hoạt động chăm sóc tập trung khác chưa được phân vào đâu
88101,Hoạt động trợ giúp xã hội không tập trung đối với người có công (trừ thương bệnh binh)
88102,Hoạt động trợ giúp xã hội không tập trung đối với thương bệnh binh
88103,"Hoạt động trợ giúp xã hội không tập trung đối với người già và người khuyết tật "
88900,Hoạt động trợ giúp xã hội không tập trung khác
90000,"Hoạt động sáng tác, nghệ thuật và giải trí "
91010,Hoạt động thư viện và lưu trữ
91020,"Hoạt động bảo tồn, bảo tàng"
91030,"Hoạt động của các vườn bách thảo, bách thú và khu bảo tồn tự nhiên"
92001,Hoạt động xổ số
92002,Hoạt động cá cược và đánh bạc
93110,Hoạt động của các cơ sở thể thao
93120,Hoạt động của các câu lạc bộ thể thao
93190,Hoạt động thể thao khác
93210,Hoạt động của các công viên vui chơi và công viên theo chủ đề
93290,Hoạt động vui chơi giải trí khác chưa được phân vào đâu
94110,Hoạt động của các hiệp hội kinh doanh và nghiệp chủ
94120,Hoạt động của các hội nghề nghiệp
94200,Hoạt động của công đoàn
94910,Hoạt động của các tổ chức tôn giáo
94990,Hoạt động của các tổ chức khác chưa được phân vào đâu
95110,Sửa chữa máy vi tính và thiết bị ngoại vi
95120,Sửa chữa thiết bị liên lạc
95210,Sửa chữa thiết bị nghe nhìn điện tử gia dụng
95220,"Sửa chữa thiết bị, đồ dùng gia đình"
95230,"Sửa chữa giày, dép, hàng da và giả da"
95240,"Sửa chữa giường, tủ, bàn, ghế và đồ nội thất tương tự"
95290,"Sửa chữa xe đạp, đồng hồ, đồ dùng cá nhân và gia đình khác chưa được phân vào đâu"
96100,"Dịch vụ tắm hơi, massage và các dịch vụ tăng cường sức khỏe tương tự (trừ hoạt động thể thao)"
96200,"Giặt là, làm sạch các sản phẩm dệt và lông thú"
96310,"Cắt tóc, làm đầu, gội đầu "
96320,Hoạt động dịch vụ phục vụ tang lễ
96330,Hoạt động dịch vụ phục vụ hôn lễ
96390,Hoạt động dịch vụ phục vụ cá nhân khác còn lại chưa được phân vào đâu
97000,Hoạt động làm thuê công việc gia đình trong các hộ gia đình
98100,Hoạt động sản xuất các sản phẩm vật chất tự tiêu dùng của hộ gia đình
98200,Hoạt động sản xuất các sản phẩm dịch vụ tự tiêu dùng của hộ gia đình
99000,Hoạt động của các tổ chức và cơ quan quốc tế
